WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Subject Notes,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,Estimates Start After
213,ARG,PPPPC,Argentina,"Gross domestic product per capita, current prices","Expressed in GDP in PPP dollars per person. Data are derived by dividing GDP in PPP dollars by total population. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Purchasing power parity; international dollars,Units,"See notes for:  Gross domestic product, current prices (National currency) Population (Persons).","6,172.51","6,256.47","6,327.15","6,725.08","6,988.09","6,595.21","7,117.30","7,393.59","7,413.92","7,077.09","7,094.54","7,996.31","8,899.40","9,537.83","10,178.73","9,972.80","10,589.85","11,512.48","11,955.65","11,587.12","11,633.00","11,256.71","10,089.08","11,104.74","12,303.20","13,681.19","15,090.27","16,728.50","17,567.28","16,472.34","18,063.91","19,322.23","19,641.35","20,131.68","19,683.77","20,105.20","20,307.87","23,597.12","23,294.14","23,007.79","20,782.65","23,736.91","26,466.90","27,260.79","28,140.53","28,959.18","29,790.75","30,632.40","31,518.77",2010
213,ARG,NGAP_NPGDP,Argentina,Output gap in percent of potential GDP,"Output gaps for advanced economies are calculated as actual GDP less potential GDP as a percent of potential GDP. Estimates of output gaps are subject to a significant margin of uncertainty. For a discussion of approaches to calculating potential output, see Paula R. De Masi, IMF Estimates of Potential Output: Theory and Practice, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1997), pp. 40-46.",Percent of potential GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,ARG,PPPSH,Argentina,Gross domestic product based on purchasing-power-parity (PPP) share of world total,"Expressed in percent of world GDP in PPP dollars. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",Percent,,"See notes for:  Gross domestic product, current prices (National currency).",1.285,1.19,1.148,1.163,1.136,1.021,1.057,1.044,0.98,0.879,0.834,0.899,0.893,0.931,0.957,0.897,0.912,0.948,0.958,0.895,0.847,0.791,0.685,0.718,0.742,0.772,0.792,0.819,0.827,0.782,0.817,0.833,0.813,0.804,0.766,0.775,0.762,0.849,0.799,0.762,0.707,0.736,0.749,0.731,0.724,0.716,0.708,0.701,0.694,2021
213,ARG,PPPEX,Argentina,Implied PPP conversion rate,"Expressed in national currency per current international dollar. These data form the basis for the country weights used to generate the World Economic Outlook country group composites for the domestic economy.   The IMF is not a primary source for purchasing power parity (PPP) data. WEO weights have been created from primary sources and are used solely for purposes of generating country group composites. For primary source information, please refer to one of the following sources: the Organization for Economic Cooperation and Development, the World Bank, or the Penn World Tables.  For further information see Box 1.1 in the October 2020 World Economic Outlook, ""Revised Purchasing Power Parity Weights"" in the July 2014 WEO Update, Box A2 in the April 2004 World Economic Outlook, Box A1 in the May 2000 World Economic Outlook, and Annex IV in the May 1993 World Economic Outlook for summaries of the revised PPP-based weights; and Box 1.2 in the September 2003 World Economic Outlook for a discussion on the measurement of global growth. See also Anne Marie Gulde and Marianne Schulze-Ghattas, Purchasing Power Parity Based Weights for the World Economic Outlook, in Staff Studies for the World Economic Outlook (Washington: IMF, December 1993), pp. 106-23.",National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",--,--,--,--,--,--,--,--,0.001,0.016,0.334,0.767,0.852,0.817,0.823,0.832,0.816,0.799,0.776,0.752,0.743,0.718,0.923,0.999,1.031,1.103,1.217,1.362,1.647,1.888,2.255,2.733,3.218,3.941,5.452,6.867,9.295,10.257,14.226,21.087,29.134,42.533,67.446,129.161,202.235,291.741,406.935,548.234,712.765,2021
213,ARG,NID_NGDP,Argentina,Total investment,Expressed as a ratio of total investment in current local currency and GDP in current local currency. Investment or gross capital formation is measured by the total value of the gross fixed capital formation and changes in inventories and acquisitions less disposals of valuables for a unit or sector. [SNA 1993],Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 03/2023,20.346,18.197,17.618,16.797,15.94,13.95,13.977,15.698,15.063,12.465,11.354,11.895,13.431,17.301,17.509,16.4,17.403,18.415,18.551,15.557,15.337,13.64,9.965,12.877,17.551,18.888,18.68,20.099,19.573,16.053,17.706,18.398,16.502,17.306,17.263,17.071,17.663,18.213,16.614,13.942,16.145,20.174,19.255,17.433,18.406,19.323,19.728,19.98,20.296,2021
213,ARG,NGSD_NGDP,Argentina,Gross national savings,"Expressed as a ratio of gross national savings in current local currency and GDP in current local currency. Gross national saving is gross disposable income less final consumption expenditure after taking account of an adjustment for pension funds. [SNA 1993] For many countries, the estimates of national saving are built up from national accounts data on gross domestic investment and from balance of payments-based data on net foreign investment.",Percent of GDP,,Source: National Statistics Office Latest actual data: 2021 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Reporting in calendar year: Yes Start/end months of reporting year: January/December Base year: 2004 Chain-weighted: No Primary domestic currency: Argentine peso Data last updated: 03/2023,20.748,18.216,17.345,16.96,16.305,17.241,16.215,14.533,15.567,15.071,15.472,12.889,12.41,13.999,13.989,17.662,15.051,14.662,14.17,11.742,12.459,12.325,17.631,18.474,19.35,21.362,21.471,22.199,21.065,18.22,17.323,17.386,16.133,15.159,15.634,14.328,14.95,13.375,11.449,13.163,16.94,21.558,18.603,18.418,19.232,19.975,20.235,20.709,21.31,2021
213,ARG,PCPI,Argentina,"Inflation, average consumer prices","Expressed in averages for the year, not end-of-period data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.]",Index,,"Source: National Statistics Office Latest actual data: 2022 Notes: The official national consumer price index (CPI) for Argentina starts in December 2016. For earlier periods, CPI data for Argentina reflect the Greater Buenos Aires Area CPI (prior to December 2013), the national CPI (IPCNu, December 2013 to October 2015), the City of Buenos Aires CPI (November 2015 to April 2016), and the Greater Buenos Aires Area CPI (May 2016 to December 2016). Given limited comparability of these series on account of differences in geographical coverage, weights, sampling, and methodology, the average CPI inflation for 2014-16 and end-of-period inflation for 2015-16 are not reported in the World Economic Outlook. Inflation projections reflect the upper bound of the program range given recent world commodity price developments. Harmonized prices: No Base year: FY2013/14. Original base year is Oct13-Sep14, hence the 2013/14 notation. Primary domestic currency: Argentine peso Data last updated: 03/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26.468,26.713,26.401,26.153,25.875,32.568,36.946,38.577,42.297,46.907,51.049,55.431,58.907,65.069,71.43,78.603,86.95,n/a,n/a,168.27,211.473,283.959,436.015,619.207,918.961,"1,584.57","3,146.82","5,039.54","7,403.47","10,522.41","14,430.62","19,116.16",2022
213,ARG,PCPIPCH,Argentina,"Inflation, average consumer prices",Annual percentages of average consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, average consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.925,-1.167,-0.939,-1.065,25.869,13.443,4.416,9.642,10.898,8.83,8.585,6.27,10.461,9.775,10.043,10.619,n/a,n/a,n/a,25.675,34.277,53.548,42.015,48.409,72.431,98.591,60.147,46.908,42.128,37.142,32.469,2022
213,ARG,PCPIE,Argentina,"Inflation, end of period consumer prices","Expressed in end of the period, not annual average data. A consumer price index (CPI) measures changes in the prices of goods and services that households consume. Such changes affect the real purchasing power of consumers' incomes and their welfare. As the prices of different goods and services do not all change at the same rate, a price index can only reflect their average movement. A price index is typically assigned a value of unity, or 100, in some reference period and the values of the index for other periods of time are intended to indicate the average proportionate, or percentage, change in prices from this price reference period. Price indices can also be used to measure differences in price levels between different cities, regions or countries at the same point in time. [CPI Manual 2004, Introduction] For euro countries, consumer prices are calculated based on harmonized prices. For more information see http://epp.eurostat.ec.europa.eu/cache/ITY_OFFPUB/KS-BE-04-001/EN/KS-BE-04-001-EN.PDF.",Index,,"Source: National Statistics Office Latest actual data: 2022 Notes: The official national consumer price index (CPI) for Argentina starts in December 2016. For earlier periods, CPI data for Argentina reflect the Greater Buenos Aires Area CPI (prior to December 2013), the national CPI (IPCNu, December 2013 to October 2015), the City of Buenos Aires CPI (November 2015 to April 2016), and the Greater Buenos Aires Area CPI (May 2016 to December 2016). Given limited comparability of these series on account of differences in geographical coverage, weights, sampling, and methodology, the average CPI inflation for 2014-16 and end-of-period inflation for 2015-16 are not reported in the World Economic Outlook. Inflation projections reflect the upper bound of the program range given recent world commodity price developments. Harmonized prices: No Base year: FY2013/14. Original base year is Oct13-Sep14, hence the 2013/14 notation. Primary domestic currency: Argentine peso Data last updated: 03/2023",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,26.464,26.64,26.158,25.966,25.565,36.035,37.352,39.631,44.516,48.897,53.038,56.876,61.253,67.944,74.404,82.471,91.498,113.38,n/a,187.331,233.781,345.167,530.979,722.878,"1,091.12","2,125.43","3,996.61","5,994.91","8,692.62","12,169.67","16,429.06","21,357.80",2022
213,ARG,PCPIEPCH,Argentina,"Inflation, end of period consumer prices",Annual percentages of end of period consumer prices are year-on-year changes.,Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.664,-1.81,-0.734,-1.544,40.953,3.656,6.101,12.327,9.841,8.468,7.238,7.695,10.923,9.508,10.842,10.946,23.915,n/a,n/a,24.796,47.646,53.832,36.141,50.942,94.793,88.037,50,45,40,35,30,2022
213,ARG,TM_RPCH,Argentina,Volume of imports of goods and services,"Percent change of volume of imports refers to the aggregate change in the quantities of total imports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office Latest actual data: 2021 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 03/2023",41.493,-8.239,-42.58,-6.924,4.705,-13.038,18.523,11.422,-9.204,-16.419,-0.69,75.576,66.462,13.423,26.7,-11.484,19.483,29.985,9.894,-15.929,-2.322,-16.587,-53.558,48.953,51.05,18.243,12.871,22.147,14.525,-23.812,39.539,21.736,-5.835,3.565,-10.933,2.706,3.498,14.334,-6.107,-21,-10.549,29.79,12.272,-4.196,15.899,1.509,1.999,2.013,2.189,2021
213,ARG,TMG_RPCH,Argentina,Volume of Imports of goods,"Percent change of volume of imports of goods refers to the aggregate change in the quantities of imports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office Latest actual data: 2021 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 03/2023",67.807,-20.509,-24.66,-28.526,14.23,-19.005,17.526,13.253,-15.31,1.044,-24.706,104.504,76.694,13.423,26.7,-11.484,19.483,29.85,9.51,-15.904,-2.344,-17.128,-53.197,49.833,50.322,18.366,12.754,22.248,14.081,-23.556,39.799,21.514,-6.082,3.707,-11.309,3.252,3.314,14.681,-6.817,-20.727,-10.404,29.843,10.119,-16.053,16.669,3.289,3.974,3.691,3.683,2021
213,ARG,TX_RPCH,Argentina,Volume of exports of goods and services,"Percent change of volume of exports refers to the aggregate change in the quantities of total exports whose characteristics are unchanged. The goods and services and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office Latest actual data: 2021 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 03/2023",43.237,5.204,3.947,2.582,-2.591,15.554,-9.975,-3.519,18.728,7.472,16.833,-5.105,2.105,2.385,17.375,25.559,6.395,15.099,12.717,-2.124,1.898,6.096,0.244,5.006,-0.15,11.583,4.473,5.935,-0.739,-10.68,13.473,2.368,-5.61,-3.788,-7.849,-1.699,6.917,-0.273,-0.399,12.255,-12.898,12.6,-5.399,-8.158,24.097,4.118,4.91,4.9,4.91,2021
213,ARG,TXG_RPCH,Argentina,Volume of exports of goods,"Percent change of volume of exports of goods refers to the aggregate change in the quantities of exports of goods whose characteristics are unchanged. The goods and their prices are held constant, therefore changes are due to changes in quantities only. [Export and Import Price Index Manual: Theory and Practice, Glossary]",Percent change,,"Source: National Statistics Office Latest actual data: 2021 Base year: 1996 Methodology used to derive volumes: Weighted average of volume changes Formula used to derive volumes: Laspeyres-type Chain-weighted: No Trade System: General trade Excluded items in trade: In transit; Other; Valuation of exports: Free on board (FOB) Valuation of imports: Cost, insurance, freight (CIF) Primary domestic currency: Argentine peso Data last updated: 03/2023",33.17,7.866,6.747,5.649,8.069,2.649,-12.726,-9.557,20.386,34.631,4.835,-0.251,5.175,2.385,17.375,25.559,6.395,15.064,12.774,-2.209,1.928,6.209,0.051,5.176,-0.218,11.596,4.405,5.979,-0.853,-10.673,13.821,2.167,-5.807,-3.57,-7.778,-1.658,6.699,-0.192,-0.637,12.515,-12.946,12.694,-2.346,-10.256,24.211,4.138,4.933,4.923,4.933,2021
213,ARG,LUR,Argentina,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,,"Source: National Statistics Office. Since 1972 to 2002, the data are compiled two times a year for each district, in May and October. Since 2003 to the present, the survey is developed throughout all weeks of the year each of the 31 urban groups. The elaborated data base gathers quarterly information, that is to say 4 yearly estimations are issued; January-February-March /April-May-June / July-August-September / October-November-December. The data relate to the employment status of respondents during the reference week, which is the previous week before the date of the appointment. Latest actual data: 2021 Notes: Argentina's authorities discontinued the publication of labor market data in December 2015 and released new series starting in the second quarter of 2016. Employment type: National definition Primary domestic currency: Argentine peso Data last updated: 03/2023",3,5,4.5,5,5,6.25,6.3,6,6.5,8,7.6,6.48,7.112,11.606,13.348,18.904,18.76,16.808,14.789,16.061,17.134,19.209,22.45,17.25,13.625,11.575,10.175,8.475,7.875,8.675,7.75,7.15,7.2,7.075,7.25,6.533,8.467,8.35,9.2,9.825,11.55,8.75,7,7.6,7.4,7.4,7.4,7.4,7.4,2021
213,ARG,LE,Argentina,Employment,"Employment can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. Persons who during a specified brief period such as one week or one day, (a) performed some work for wage or salary in cash or in kind, (b) had a formal attachment to their job but were temporarily not at work during the reference period, (c) performed some work for profit or family gain in cash or in kind, (d) were with an enterprise such as a business, farm or service but who were temporarily not at work during the reference period for any specific reason. [Current International Recommendations on Labour Statistics, 1988 Edition, ILO, Geneva, page 47]",Persons,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
